,ids,SMILES
16603,Z4327163622,C/C=C\c1cn([C@H]2CN(C(=O)[C@@H](C)c3ccccc3)C[C@H]2C)nn1
16604,Z2949635233,Cc1cc(NC(=O)N(Cc2ccccn2)CC(C)C)cc(C)n1
16605,Z2952797644,CSCC1CCC(C(=O)[O-])(n2cc(C)cn2)CC1
16606,Z2965374677,C[C@](Cn1cccn1)(NC(=O)c1cscc1Cl)C(N)=O
16607,Z2965374677,C[C@@](Cn1cccn1)(NC(=O)c1cscc1Cl)C(N)=O
16608,Z2968837761,NC(=O)[C@@H]1CN(c2ccc(-c3c(F)cccc3F)nn2)CCO1
16609,Z2968837761,NC(=O)[C@H]1CN(c2ccc(-c3c(F)cccc3F)nn2)CCO1
16610,Z2978245374,CNC(=O)C1CN(C(=O)c2c(Cl)cccc2OCC2CC2)C1
16611,Z3027211356,O=S(=O)(c1cnc2ccccn12)N1CCC[C@H](C2CC2)C1
16612,Z3027211356,O=S(=O)(c1cnc2ccccn12)N1CCC[C@@H](C2CC2)C1
16613,Z3101833449,Nc1ccn2ncc(C(=O)N3CCO[C@H](C(F)(F)F)C3)c2c1
16614,Z3101833449,Nc1ccn2ncc(C(=O)N3CCO[C@@H](C(F)(F)F)C3)c2c1
16615,Z3139611042,COCCn1c(-c2ccnn2C)nnc1N1CCN2CCOC[C@@H]2C1
16616,Z3139611042,COCCn1c(-c2ccnn2C)nnc1N1CCN2CCOC[C@H]2C1
16617,Z3215927376,Cc1nc(C2CCN(S(=O)(=O)c3ccccc3)CC2)[nH]c1C(=O)[O-]
16618,Z3290444812,CCS(=O)(=O)N[C@H](C)c1cc2n(n1)CCCC2
16619,Z3290444812,CCS(=O)(=O)N[C@@H](C)c1cc2n(n1)CCCC2
16620,Z3376089940,O=C1CC[C@H](N2C(=O)c3ccccc3[C@@H]2O)C(=O)N1
16621,Z3376089940,O=C1CC[C@@H](N2C(=O)c3ccccc3[C@@H]2O)C(=O)N1
16622,Z3376089940,O=C1CC[C@H](N2C(=O)c3ccccc3[C@H]2O)C(=O)N1
16623,Z3376089940,O=C1CC[C@@H](N2C(=O)c3ccccc3[C@H]2O)C(=O)N1
16624,Z3378829450,Cc1c(C(=O)NCCn2cc(-c3ccccc3)nn2)cnn1C(C)C
16625,Z3414210972,COc1ccc(CNC(=O)N2CC3(C2)[C@H](C(N)=O)CCS3(=O)=O)cc1
16626,Z3414210972,COc1ccc(CNC(=O)N2CC3(C2)[C@@H](C(N)=O)CCS3(=O)=O)cc1
16627,Z3415176455,O=S1(=Nc2ccccc2)CCC2(CC1)CN(c1ccccn1)CCO2
16628,Z3416611992,CN=S1(=O)CCC2(CC1)CN(C(=O)c1[nH]cnc1C(C)(C)C)CCO2
16629,Z3686077234,N#Cc1ccccc1-c1ccc(C[NH2+][C@@H]2C[C@H](Cn3cccn3)C[C@@H]2O)cc1
16630,Z3686077234,N#Cc1ccccc1-c1ccc(C[NH2+][C@H]2C[C@H](Cn3cccn3)C[C@@H]2O)cc1
16631,Z3686077234,N#Cc1ccccc1-c1ccc(C[NH2+][C@@H]2C[C@@H](Cn3cccn3)C[C@@H]2O)cc1
16632,Z3686077234,N#Cc1ccccc1-c1ccc(C[NH2+][C@H]2C[C@@H](Cn3cccn3)C[C@@H]2O)cc1
16633,Z3686077234,N#Cc1ccccc1-c1ccc(C[NH2+][C@@H]2C[C@H](Cn3cccn3)C[C@H]2O)cc1
16634,Z3686077234,N#Cc1ccccc1-c1ccc(C[NH2+][C@H]2C[C@H](Cn3cccn3)C[C@H]2O)cc1
16635,Z3686077234,N#Cc1ccccc1-c1ccc(C[NH2+][C@@H]2C[C@@H](Cn3cccn3)C[C@H]2O)cc1
16636,Z3686077234,N#Cc1ccccc1-c1ccc(C[NH2+][C@H]2C[C@@H](Cn3cccn3)C[C@H]2O)cc1
16637,Z3687013943,Cc1nc(C2CC2)nc(C)c1C(=O)N[C@@H]1C[C@H](Cn2cccn2)C[C@@H]1O
16638,Z3687013943,Cc1nc(C2CC2)nc(C)c1C(=O)N[C@H]1C[C@H](Cn2cccn2)C[C@@H]1O
16639,Z3687013943,Cc1nc(C2CC2)nc(C)c1C(=O)N[C@@H]1C[C@@H](Cn2cccn2)C[C@@H]1O
16640,Z3687013943,Cc1nc(C2CC2)nc(C)c1C(=O)N[C@H]1C[C@@H](Cn2cccn2)C[C@@H]1O
16641,Z3687013943,Cc1nc(C2CC2)nc(C)c1C(=O)N[C@@H]1C[C@H](Cn2cccn2)C[C@H]1O
16642,Z3687013943,Cc1nc(C2CC2)nc(C)c1C(=O)N[C@H]1C[C@H](Cn2cccn2)C[C@H]1O
16643,Z3687013943,Cc1nc(C2CC2)nc(C)c1C(=O)N[C@@H]1C[C@@H](Cn2cccn2)C[C@H]1O
16644,Z3687013943,Cc1nc(C2CC2)nc(C)c1C(=O)N[C@H]1C[C@@H](Cn2cccn2)C[C@H]1O
16645,Z3773844048,O=C(NCC1(C(=O)[O-])CCC1)c1cc(C(F)(F)F)nn1C1CC1
16646,Z4119259586,Cc1cccc(C(=O)NCCn2cc(-c3ccccc3)nn2)c1F
16647,Z1889878623,CNS(=O)(=O)N1CC[C@](C(=O)[O-])(C(C)C)C1
16648,Z1889878623,CNS(=O)(=O)N1CC[C@@](C(=O)[O-])(C(C)C)C1
16649,Z815302766,Cc1noc(CNS(=O)(=O)c2ccc(Br)s2)n1
16650,Z1274471904,[NH3+]CCc1nc(C(=O)N2CCNC(=O)C2)cs1
16651,Z1787926900,Cc1nc(C)c(C(=O)N(CCO)C2CCC2)s1
16652,Z385443222,O=C([O-])C1(NS(=O)(=O)c2ccccc2)CCCC1
16653,Z228711988,O=C([O-])[C@H](NS(=O)(=O)c1cccs1)c1ccccc1
16654,Z228711988,O=C([O-])[C@@H](NS(=O)(=O)c1cccs1)c1ccccc1
16655,Z2440017975,O=C(CCc1ccncc1)NC1C[C@H]2CC[C@@H](C1)[NH2+]2
16656,Z2440017975,O=C(CCc1ccncc1)NC1C[C@H]2CC[C@H](C1)[NH2+]2
16657,Z2440017975,O=C(CCc1ccncc1)NC1C[C@@H]2CC[C@@H](C1)[NH2+]2
16658,Z2440017975,O=C(CCc1ccncc1)NC1C[C@H]2CC[C@@H](C1)[NH2+]2
16659,Z728852510,CCCN(CC(=O)[O-])S(=O)(=O)c1ccc(OC)c(F)c1
16660,Z1162460090,CCNC(=O)N1CCN(C(=O)c2cncc(O)c2)CC1
16661,Z1578606157,CC(C)(O)C(C)(C)NC(=O)Cc1noc2ccccc12
16662,Z1278747305,CC(C)(C(=O)[O-])c1ccc(NS(=O)(=O)c2c[nH]cn2)cc1
16663,Z1262878111,CO[C@@H]1CCC[NH+]([C@@H]2CCCN(c3cnn(C)c3)C2=O)C1
16664,Z1262878111,CO[C@H]1CCC[NH+]([C@@H]2CCCN(c3cnn(C)c3)C2=O)C1
16665,Z1262878111,CO[C@@H]1CCC[NH+]([C@H]2CCCN(c3cnn(C)c3)C2=O)C1
16666,Z1262878111,CO[C@H]1CCC[NH+]([C@H]2CCCN(c3cnn(C)c3)C2=O)C1
16667,Z1142696117,COc1cc(C(=O)NCc2nc(C)c(C(=O)[O-])s2)ccc1C
16668,Z1258738484,O=C(Cn1cnc2sccc2c1=O)NCC1(O)CCCCC1
16669,Z1993734843,CCn1ccc(NC(=O)Nc2cccc(CCC(=O)[O-])c2)n1
16670,Z1318191426,CN(CC12CC3CC(CC(C3)C1)C2)C(=O)C[NH+]1CCC([NH3+])CC1
16671,Z2007084776,COc1ccc(C)cc1[C@H](C)NC(=O)[C@H](N)CC1CCCCC1
16672,Z2007084776,COc1ccc(C)cc1[C@@H](C)NC(=O)[C@H](N)CC1CCCCC1
16673,Z2007084776,COc1ccc(C)cc1[C@H](C)NC(=O)[C@@H](N)CC1CCCCC1
16674,Z2007084776,COc1ccc(C)cc1[C@@H](C)NC(=O)[C@@H](N)CC1CCCCC1
16675,Z608712086,COc1ccccc1CN(C1CC1)S(=O)(=O)c1[nH]ncc1C(=O)[O-]
16676,Z1335058804,O=C(CC1C[C@H]2CC[C@@H](C1)[NH2+]2)N1CCN(C(=O)[C@@H]2CCCO2)CC1
16677,Z1335058804,O=C(CC1C[C@H]2CC[C@H](C1)[NH2+]2)N1CCN(C(=O)[C@@H]2CCCO2)CC1
16678,Z1335058804,O=C(CC1C[C@@H]2CC[C@@H](C1)[NH2+]2)N1CCN(C(=O)[C@@H]2CCCO2)CC1
16679,Z1335058804,O=C(CC1C[C@H]2CC[C@@H](C1)[NH2+]2)N1CCN(C(=O)[C@@H]2CCCO2)CC1
